date,price
2017년05월04일,1485.76
2017년05월05일,1485.50
2017년05월06일,1485.32
2017년05월07일,1485.29
2017년05월08일,1485.13
2017년05월09일,1484.34
2017년05월10일,1483.94
2017년05월11일,1483.26
2017년05월12일,1482.50
2017년05월13일,1481.94
2017년05월14일,1481.67
2017년05월15일,1481.35
2017년05월16일,1480.75
2017년05월17일,1480.29
2017년05월18일,1479.88
2017년05월19일,1479.43
2017년05월20일,1478.91
2017년05월21일,1478.77
2017년05월22일,1478.60
2017년05월23일,1478.36
2017년05월24일,1478.11
2017년05월25일,1477.75
2017년05월26일,1477.55
2017년05월27일,1477.15
2017년05월28일,1477.00
2017년05월29일,1476.82
2017년05월30일,1476.53
2017년05월31일,1476.19
2017년06월01일,1475.24
2017년06월02일,1474.51
2017년06월03일,1473.86
2017년06월04일,1473.71
2017년06월05일,1473.30
2017년06월06일,1472.60
2017년06월07일,1472.05
2017년06월08일,1471.13
2017년06월09일,1470.03
2017년06월10일,1468.87
2017년06월11일,1468.37
2017년06월12일,1467.61
2017년06월13일,1466.07
2017년06월14일,1464.71
2017년06월15일,1463.29
2017년06월16일,1461.75
2017년06월17일,1460.28
2017년06월18일,1459.69
2017년06월19일,1458.78
2017년06월20일,1457.15
2017년06월21일,1455.31
2017년06월22일,1453.61
2017년06월23일,1452.03
2017년06월24일,1450.76
2017년06월25일,1450.14
2017년06월26일,1449.24
2017년06월27일,1447.56
2017년06월28일,1446.23
2017년06월29일,1444.98
2017년06월30일,1444.10
2017년07월01일,1442.37
2017년07월02일,1441.80
2017년07월03일,1441.16
2017년07월04일,1440.41
2017년07월05일,1439.67
2017년07월06일,1439.24
2017년07월07일,1438.93
2017년07월08일,1438.51
2017년07월09일,1438.33
2017년07월10일,1438.21
2017년07월11일,1438.76
2017년07월12일,1438.42
2017년07월13일,1438.22
2017년07월14일,1438.05
2017년07월15일,1437.96
2017년07월16일,1437.97
2017년07월17일,1438.00
2017년07월18일,1437.89
2017년07월19일,1437.75
2017년07월20일,1437.78
2017년07월21일,1437.68
2017년07월22일,1437.64
2017년07월23일,1437.58
2017년07월24일,1437.59
2017년07월25일,1437.70
2017년07월26일,1437.85
2017년07월27일,1438.02
2017년07월28일,1438.20
2017년07월29일,1438.31
2017년07월30일,1438.48
2017년07월31일,1438.87
2017년08월01일,1439.43
2017년08월02일,1439.82
2017년08월03일,1440.31
2017년08월04일,1440.98
2017년08월05일,1441.50
2017년08월06일,1441.89
2017년08월07일,1442.77
2017년08월08일,1444.78
2017년08월09일,1446.06
2017년08월10일,1447.55
2017년08월11일,1448.48
2017년08월12일,1449.53
2017년08월13일,1450.09
2017년08월14일,1450.81
2017년08월15일,1452.62
2017년08월16일,1453.26
2017년08월17일,1454.28
2017년08월18일,1455.01
2017년08월19일,1455.60
2017년08월20일,1455.99
2017년08월21일,1456.62
2017년08월22일,1457.27
2017년08월23일,1457.81
2017년08월24일,1458.37
2017년08월25일,1458.81
2017년08월26일,1459.66
2017년08월27일,1460.09
2017년08월28일,1460.66
2017년08월29일,1461.60
2017년08월30일,1462.30
2017년08월31일,1462.61
2017년09월01일,1463.76
2017년09월02일,1464.34
2017년09월03일,1464.73
2017년09월04일,1465.35
2017년09월05일,1466.28
2017년09월06일,1466.99
2017년09월07일,1467.98
2017년09월08일,1469.35
2017년09월09일,1470.74
2017년09월10일,1471.63
2017년09월11일,1472.94
2017년09월12일,1475.32
2017년09월13일,1477.01
2017년09월14일,1478.52
2017년09월15일,1480.04
2017년09월16일,1481.65
2017년09월17일,1482.53
2017년09월18일,1483.77
2017년09월19일,1485.17
2017년09월20일,1486.11
2017년09월21일,1487.25
2017년09월22일,1488.24
2017년09월23일,1489.15
2017년09월24일,1489.69
2017년09월25일,1490.52
2017년09월26일,1491.59
2017년09월27일,1492.61
2017년09월28일,1493.88
2017년09월29일,1495.49
2017년09월30일,1497.04
2017년10월01일,1498.61
2017년10월02일,1499.74
2017년10월03일,1500.86
2017년10월04일,1501.29
2017년10월05일,1501.73
2017년10월06일,1502.14
2017년10월07일,1502.37
2017년10월08일,1502.52
2017년10월09일,1502.79
2017년10월10일,1503.00
2017년10월11일,1503.39
2017년10월12일,1503.75
2017년10월13일,1504.14
2017년10월14일,1504.48
2017년10월15일,1504.73
2017년10월16일,1505.13
2017년10월17일,1505.46
2017년10월18일,1505.53
2017년10월19일,1505.79
2017년10월20일,1506.00
2017년10월21일,1506.18
2017년10월22일,1506.32
2017년10월23일,1506.44
2017년10월24일,1506.61
2017년10월25일,1506.74
2017년10월26일,1506.88
2017년10월27일,1507.00
2017년10월28일,1507.12
2017년10월29일,1507.24
2017년10월30일,1507.50
2017년10월31일,1507.71
2017년11월01일,1508.62
2017년11월02일,1508.95
2017년11월03일,1509.35
2017년11월04일,1509.82
2017년11월05일,1510.06
2017년11월06일,1510.48
2017년11월07일,1512.06
2017년11월08일,1513.34
2017년11월09일,1514.43
2017년11월10일,1515.57
2017년11월11일,1516.76
2017년11월12일,1517.56
2017년11월13일,1518.65
2017년11월14일,1520.74
2017년11월15일,1521.86
2017년11월16일,1522.81
2017년11월17일,1523.72
2017년11월18일,1524.64
2017년11월19일,1525.20
2017년11월20일,1525.97
2017년11월21일,1526.88
2017년11월22일,1527.60
2017년11월23일,1528.28
2017년11월24일,1529.12
2017년11월25일,1529.99
2017년11월26일,1530.41
2017년11월27일,1531.27
2017년11월28일,1532.20
2017년11월29일,1533.11
2017년11월30일,1533.76
2017년12월01일,1534.92
2017년12월02일,1535.66
2017년12월03일,1536.08
2017년12월04일,1536.55
2017년12월05일,1536.83
2017년12월06일,1537.35
2017년12월07일,1537.85
2017년12월08일,1538.13
2017년12월09일,1538.36
2017년12월10일,1538.55
2017년12월11일,1538.86
2017년12월12일,1539.28
2017년12월13일,1539.47
2017년12월14일,1539.97
2017년12월15일,1540.38
2017년12월16일,1540.66
2017년12월17일,1540.85
2017년12월18일,1541.12
2017년12월19일,1541.55
2017년12월20일,1541.76
2017년12월21일,1541.99
2017년12월22일,1542.30
2017년12월23일,1542.58
2017년12월24일,1542.77
2017년12월25일,1542.87
2017년12월26일,1542.99
2017년12월27일,1543.24
2017년12월28일,1543.52
2017년12월29일,1543.74
2017년12월30일,1543.99
2017년12월31일,1544.11
2018년01월01일,1544.62
2018년01월02일,1544.93
2018년01월03일,1545.28
2018년01월04일,1545.57
2018년01월05일,1546.36
2018년01월06일,1546.89
2018년01월07일,1547.13
2018년01월08일,1547.49
2018년01월09일,1547.80
2018년01월10일,1548.16
2018년01월11일,1548.67
2018년01월12일,1549.23
2018년01월13일,1549.76
2018년01월14일,1550.16
2018년01월15일,1550.69
2018년01월16일,1551.58
2018년01월17일,1552.16
2018년01월18일,1552.73
2018년01월19일,1553.32
2018년01월20일,1553.92
2018년01월21일,1554.19
2018년01월22일,1554.73
2018년01월23일,1555.27
2018년01월24일,1555.85
2018년01월25일,1556.44
2018년01월26일,1557.14
2018년01월27일,1557.76
2018년01월28일,1558.12
2018년01월29일,1558.67
2018년01월30일,1559.63
2018년01월31일,1560.34
2018년02월01일,1561.40
2018년02월02일,1562.05
2018년02월03일,1562.60
2018년02월04일,1562.80
2018년02월05일,1563.14
2018년02월06일,1563.90
2018년02월07일,1564.38
2018년02월08일,1564.80
2018년02월09일,1565.11
2018년02월10일,1565.31
2018년02월11일,1565.34
2018년02월12일,1565.47
2018년02월13일,1565.51
2018년02월14일,1565.72
2018년02월15일,1565.98
2018년02월16일,1566.02
2018년02월17일,1565.99
2018년02월18일,1565.95
2018년02월19일,1565.76
2018년02월20일,1565.46
2018년02월21일,1565.06
2018년02월22일,1564.67
2018년02월23일,1564.48
2018년02월24일,1564.30
2018년02월25일,1564.23
2018년02월26일,1564.17
2018년02월27일,1564.07
2018년02월28일,1563.88
2018년03월01일,1563.68
2018년03월02일,1563.46
2018년03월03일,1563.15
2018년03월04일,1562.95
2018년03월05일,1562.76
2018년03월06일,1562.75
2018년03월07일,1562.37
2018년03월08일,1562.02
2018년03월09일,1561.53
2018년03월10일,1561.12
2018년03월11일,1560.89
2018년03월12일,1560.60
2018년03월13일,1560.02
2018년03월14일,1559.27
2018년03월15일,1558.55
2018년03월16일,1557.87
2018년03월17일,1557.16
2018년03월18일,1556.94
2018년03월19일,1556.44
2018년03월20일,1555.54
2018년03월21일,1554.72
2018년03월22일,1554.20
2018년03월23일,1553.67
2018년03월24일,1553.36
2018년03월25일,1553.23
2018년03월26일,1552.94
2018년03월27일,1553.03
2018년03월28일,1552.76
2018년03월29일,1552.41
2018년03월30일,1552.09
2018년03월31일,1551.86
2018년04월01일,1551.62
2018년04월02일,1551.29
2018년04월03일,1551.29
2018년04월04일,1551.10
2018년04월05일,1550.91
2018년04월06일,1550.69
2018년04월07일,1550.52
2018년04월08일,1550.45
2018년04월09일,1550.34
2018년04월10일,1550.04
2018년04월11일,1549.73
2018년04월12일,1549.69
2018년04월13일,1549.64
2018년04월14일,1549.65
2018년04월15일,1549.68
2018년04월16일,1549.72
2018년04월17일,1550.00
2018년04월18일,1550.11
2018년04월19일,1550.39
2018년04월20일,1550.83
2018년04월21일,1551.20
2018년04월22일,1551.34
2018년04월23일,1551.69
2018년04월24일,1552.22
2018년04월25일,1552.76
2018년04월26일,1553.33
2018년04월27일,1554.15
2018년04월28일,1554.78
2018년04월29일,1555.14
2018년04월30일,1555.65
2018년05월01일,1557.66
2018년05월02일,1558.46
2018년05월03일,1559.37
2018년05월04일,1560.30
2018년05월05일,1561.55
2018년05월06일,1562.08
2018년05월07일,1562.73
2018년05월08일,1563.59
2018년05월09일,1565.32
2018년05월10일,1567.32
2018년05월11일,1569.89
2018년05월12일,1572.13
2018년05월13일,1573.17
2018년05월14일,1574.67
2018년05월15일,1577.27
2018년05월16일,1579.46
2018년05월17일,1581.16
2018년05월18일,1583.01
2018년05월19일,1584.92
2018년05월20일,1585.90
2018년05월21일,1587.43
2018년05월22일,1590.20
2018년05월23일,1591.97
2018년05월24일,1595.13
2018년05월25일,1598.38
2018년05월26일,1600.91
2018년05월27일,1602.06
2018년05월28일,1603.52
2018년05월29일,1605.58
2018년05월30일,1606.68
2018년05월31일,1607.24
2018년06월01일,1608.43
2018년06월02일,1608.89
2018년06월03일,1609.16
2018년06월04일,1609.50
2018년06월05일,1609.70
2018년06월06일,1609.97
2018년06월07일,1610.24
2018년06월08일,1610.24
2018년06월09일,1610.19
2018년06월10일,1610.14
2018년06월11일,1610.26
2018년06월12일,1610.18
2018년06월13일,1610.03
2018년06월14일,1609.97
2018년06월15일,1609.74
2018년06월16일,1609.59
2018년06월17일,1609.55
2018년06월18일,1609.32
2018년06월19일,1609.16
2018년06월20일,1608.89
2018년06월21일,1608.58
2018년06월22일,1608.32
2018년06월23일,1608.12
2018년06월24일,1608.06
2018년06월25일,1608.02
2018년06월26일,1607.73
2018년06월27일,1607.61
2018년06월28일,1607.56
2018년06월29일,1607.60
2018년06월30일,1607.63
2018년07월01일,1607.66
2018년07월02일,1607.83
2018년07월03일,1608.19
2018년07월04일,1608.49
2018년07월05일,1608.67
2018년07월06일,1608.89
2018년07월07일,1609.18
2018년07월08일,1609.27
2018년07월09일,1609.44
2018년07월10일,1609.85
2018년07월11일,1610.24
2018년07월12일,1610.57
2018년07월13일,1610.76
2018년07월14일,1610.99
2018년07월15일,1611.22
2018년07월16일,1611.42
2018년07월17일,1611.64
2018년07월18일,1611.69
2018년07월19일,1611.79
2018년07월20일,1611.82
2018년07월21일,1611.93
2018년07월22일,1611.97
2018년07월23일,1612.09
2018년07월24일,1612.21
2018년07월25일,1612.29
2018년07월26일,1612.47
2018년07월27일,1612.59
2018년07월28일,1612.86
2018년07월29일,1613.03
2018년07월30일,1613.20
2018년07월31일,1613.82
2018년08월01일,1614.67
2018년08월02일,1615.04
2018년08월03일,1615.31
2018년08월04일,1615.62
2018년08월05일,1615.84
2018년08월06일,1615.97
2018년08월07일,1616.60
2018년08월08일,1616.88
2018년08월09일,1617.17
2018년08월10일,1617.37
2018년08월11일,1617.58
2018년08월12일,1617.82
2018년08월13일,1618.03
2018년08월14일,1618.46
2018년08월15일,1618.68
2018년08월16일,1618.90
2018년08월17일,1619.02
2018년08월18일,1619.08
2018년08월19일,1619.18
2018년08월20일,1619.34
2018년08월21일,1619.46
2018년08월22일,1619.51
2018년08월23일,1619.69
2018년08월24일,1619.75
2018년08월25일,1619.82
2018년08월26일,1619.91
2018년08월27일,1620.05
2018년08월28일,1620.35
2018년08월29일,1620.52
2018년08월30일,1620.72
2018년08월31일,1620.87
2018년09월01일,1621.68
2018년09월02일,1621.97
2018년09월03일,1622.48
2018년09월04일,1623.19
2018년09월05일,1624.11
2018년09월06일,1625.25
2018년09월07일,1626.47
2018년09월08일,1627.25
2018년09월09일,1627.74
2018년09월10일,1628.48
2018년09월11일,1630.11
2018년09월12일,1631.50
2018년09월13일,1633.36
2018년09월14일,1635.32
2018년09월15일,1637.02
2018년09월16일,1637.90
2018년09월17일,1639.20
2018년09월18일,1640.92
2018년09월19일,1642.42
2018년09월20일,1644.00
2018년09월21일,1645.70
2018년09월22일,1647.81
2018년09월23일,1649.04
2018년09월24일,1649.62
2018년09월25일,1650.20
2018년09월26일,1650.45
2018년09월27일,1651.41
2018년09월28일,1652.82
2018년09월29일,1654.25
2018년09월30일,1655.00
2018년10월01일,1657.10
2018년10월02일,1659.87
2018년10월03일,1661.85
2018년10월04일,1663.86
2018년10월05일,1666.77
2018년10월06일,1669.15
2018년10월07일,1670.38
2018년10월08일,1672.36
2018년10월09일,1675.17
2018년10월10일,1677.03
2018년10월11일,1679.67
2018년10월12일,1681.55
2018년10월13일,1683.13
2018년10월14일,1684.00
2018년10월15일,1685.11
2018년10월16일,1686.39
2018년10월17일,1687.47
2018년10월18일,1688.25
2018년10월19일,1688.74
2018년10월20일,1689.15
2018년10월21일,1689.48
2018년10월22일,1689.76
2018년10월23일,1689.71
2018년10월24일,1689.73
2018년10월25일,1689.78
2018년10월26일,1689.64
2018년10월27일,1689.69
2018년10월28일,1689.84
2018년10월29일,1689.86
2018년10월30일,1690.11
2018년10월31일,1690.14
2018년11월01일,1690.24
2018년11월02일,1690.21
2018년11월03일,1690.19
2018년11월04일,1690.31
2018년11월05일,1690.30
2018년11월06일,1665.50
2018년11월07일,1640.70
2018년11월08일,1615.00
2018년11월09일,1598.67
2018년11월10일,1589.25
2018년11월11일,1585.66
2018년11월12일,1580.32
2018년11월13일,1574.73
2018년11월14일,1569.96
2018년11월15일,1565.07
2018년11월16일,1560.28
2018년11월17일,1556.81
2018년11월18일,1555.15
2018년11월19일,1551.91
2018년11월20일,1547.21
2018년11월21일,1541.69
2018년11월22일,1536.76
2018년11월23일,1531.65
2018년11월24일,1527.85
2018년11월25일,1526.19
2018년11월26일,1522.79
2018년11월27일,1516.55
2018년11월28일,1510.85
2018년11월29일,1505.23
2018년11월30일,1500.24
2018년12월01일,1493.32
2018년12월02일,1490.73
2018년12월03일,1486.92
2018년12월04일,1481.24
2018년12월05일,1475.39
2018년12월06일,1470.45
2018년12월07일,1465.39
2018년12월08일,1461.30
2018년12월09일,1459.79
2018년12월10일,1456.49
